tag,mode,algo,env,method,p_stay,seed,run_name,n_rows,contexts_present,switch_count,near_miss_rate,violation_rate,shield_used_rate,clearance_min,clearance_mean,clearance_median,clearance_q05,clearance_q10
grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0,5000,22,52,0.1066,0.0452,0.0,-30.034682083129823,615.1346214613399,615.0118806838989,47.20219449996949,109.86185315132143
grid16,continuous,sac,highway_v0,baseline,0.5,1,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_1,5000,24,47,0.1084,0.0388,0.0,-32.827281188964875,608.1277293084013,604.3210345395407,53.2856723690033,111.39072577476502
grid16,continuous,sac,highway_v0,baseline,0.95,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p95__seed_0,5000,6,5,0.1046,0.0412,0.0,-26.227022171020508,603.8687924728624,597.6698696136475,53.57308418273926,112.43768639564514
grid16,continuous,sac,highway_v0,baseline,0.95,1,grid16__continuous__sac__highway_v0__baseline__pstay_0p95__seed_1,5000,4,3,0.1032,0.0436,0.0,-25.446984481811555,613.4994962224365,610.6405577697753,51.37507996559141,109.05078280448919
grid16,continuous,sac,highway_v0,cpss_only,0.5,0,grid16__continuous__sac__highway_v0__cpss_only__pstay_0p5__seed_0,5000,22,52,0.1026,0.0538,0.0228,-13.589263916015623,599.9992932427075,589.0614650249481,34.65151291370393,98.6219223117828
grid16,continuous,sac,highway_v0,cpss_only,0.5,1,grid16__continuous__sac__highway_v0__cpss_only__pstay_0p5__seed_1,5000,24,47,0.0966,0.058,0.0242,-13.556106567382812,594.6748467438396,589.7423627580006,31.619426832199125,99.61291303634644
grid16,continuous,sac,highway_v0,cpss_only,0.95,0,grid16__continuous__sac__highway_v0__cpss_only__pstay_0p95__seed_0,5000,6,5,0.0956,0.0528,0.0222,-13.416933059692385,599.6954723735406,592.7078053474427,35.24043877601624,101.68289450645447
grid16,continuous,sac,highway_v0,cpss_only,0.95,1,grid16__continuous__sac__highway_v0__cpss_only__pstay_0p95__seed_1,5000,4,3,0.0958,0.0598,0.0238,-13.26556396484375,603.8119079086473,600.5667871475221,31.298044719696055,95.24108183860781
grid16,continuous,sac,highway_v0,full,0.5,0,grid16__continuous__sac__highway_v0__full__pstay_0p5__seed_0,5000,22,52,0.1062,0.0538,0.0608,-13.589263916015623,608.2830041860803,601.2266362190246,37.450112533569346,94.92547803878783
grid16,continuous,sac,highway_v0,full,0.5,1,grid16__continuous__sac__highway_v0__full__pstay_0p5__seed_1,5000,24,47,0.0962,0.0538,0.0588,-13.556106567382812,612.5931854900402,616.2759337902069,37.76019744873048,104.01519298553465
grid16,continuous,sac,highway_v0,full,0.95,0,grid16__continuous__sac__highway_v0__full__pstay_0p95__seed_0,5000,6,5,0.0978,0.051,0.059,-13.416933059692385,622.5766379222136,615.9639942849478,38.145182037353514,102.8550043392181
grid16,continuous,sac,highway_v0,full,0.95,1,grid16__continuous__sac__highway_v0__full__pstay_0p95__seed_1,5000,4,3,0.0996,0.0556,0.0584,-13.26556396484375,610.3797584786829,605.9129673576356,38.26409187316895,99.93468704223632
grid16,continuous,sac,highway_v0,lilac_only,0.5,0,grid16__continuous__sac__highway_v0__lilac_only__pstay_0p5__seed_0,5000,22,52,0.1066,0.0452,0.0,-30.034682083129823,615.1346214613399,615.0118806838989,47.20219449996949,109.86185315132143
grid16,continuous,sac,highway_v0,lilac_only,0.5,1,grid16__continuous__sac__highway_v0__lilac_only__pstay_0p5__seed_1,5000,24,47,0.1084,0.0388,0.0,-32.827281188964875,608.1277293084013,604.3210345395407,53.2856723690033,111.39072577476502
grid16,continuous,sac,highway_v0,lilac_only,0.95,0,grid16__continuous__sac__highway_v0__lilac_only__pstay_0p95__seed_0,5000,6,5,0.1046,0.0412,0.0,-26.227022171020508,603.8687924728624,597.6698696136475,53.57308418273926,112.43768639564514
grid16,continuous,sac,highway_v0,lilac_only,0.95,1,grid16__continuous__sac__highway_v0__lilac_only__pstay_0p95__seed_1,5000,4,3,0.1032,0.0436,0.0,-25.446984481811555,613.4994962224365,610.6405577697753,51.37507996559141,109.05078280448919
