run_name,method,p_stay,seed,post_switch_near_miss_rate,post_switch_violation_rate,post_switch_shield_used_rate,post_switch_clearance_mean,n_switch_rows
grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0,baseline,0.5,0,0.5538461538461539,0.24423076923076922,0.0,102.95745751318321,520
grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_1,baseline,0.5,1,0.5702127659574469,0.23829787234042554,0.0,99.04852992601327,470
grid16__continuous__sac__highway_v0__baseline__pstay_0p95__seed_0,baseline,0.95,0,0.54,0.22,0.0,111.92464953313194,50
grid16__continuous__sac__highway_v0__baseline__pstay_0p95__seed_1,baseline,0.95,1,0.5333333333333333,0.3333333333333333,0.0,85.72489051818852,30
grid16__continuous__sac__highway_v0__cpss_only__pstay_0p5__seed_0,cpss_only,0.5,0,0.5230769230769231,0.3230769230769231,0.13846153846153847,90.66133644434366,520
grid16__continuous__sac__highway_v0__cpss_only__pstay_0p5__seed_1,cpss_only,0.5,1,0.5297872340425532,0.3404255319148936,0.14042553191489363,83.3335895461468,470
grid16__continuous__sac__highway_v0__cpss_only__pstay_0p95__seed_0,cpss_only,0.95,0,0.48,0.26,0.1,109.06879808235168,50
grid16__continuous__sac__highway_v0__cpss_only__pstay_0p95__seed_1,cpss_only,0.95,1,0.4,0.36666666666666664,0.13333333333333333,82.74656370798745,30
grid16__continuous__sac__highway_v0__full__pstay_0p5__seed_0,full,0.5,0,0.5653846153846154,0.3211538461538462,0.36538461538461536,83.5685912215942,520
grid16__continuous__sac__highway_v0__full__pstay_0p5__seed_1,full,0.5,1,0.5170212765957447,0.3170212765957447,0.34893617021276596,89.3338541813546,470
grid16__continuous__sac__highway_v0__full__pstay_0p95__seed_0,full,0.95,0,0.5,0.34,0.4,97.36918298034666,50
grid16__continuous__sac__highway_v0__full__pstay_0p95__seed_1,full,0.95,1,0.5333333333333333,0.3333333333333333,0.36666666666666664,84.41613010724386,30
grid16__continuous__sac__highway_v0__lilac_only__pstay_0p5__seed_0,lilac_only,0.5,0,0.5538461538461539,0.24423076923076922,0.0,102.95745751318321,520
grid16__continuous__sac__highway_v0__lilac_only__pstay_0p5__seed_1,lilac_only,0.5,1,0.5702127659574469,0.23829787234042554,0.0,99.04852992601327,470
grid16__continuous__sac__highway_v0__lilac_only__pstay_0p95__seed_0,lilac_only,0.95,0,0.54,0.22,0.0,111.92464953313194,50
grid16__continuous__sac__highway_v0__lilac_only__pstay_0p95__seed_1,lilac_only,0.95,1,0.5333333333333333,0.3333333333333333,0.0,85.72489051818852,30
