metric,seen,unseen,unseen_minus_seen
tau_violation,2.008065402507782,2.0,-0.008065402507781982
tau_near_miss,2.624544671177862,8.0,5.375455328822138
episodes,32.0,86.0,54.0
r_mean,55.74919975,54.56722516279069,-1.1819745872093108
r_std,113.69894063549881,37.28907935048394,-76.40986128501487
l_mean,89.8125,114.29069767441861,24.47819767441861
l_std,72.75430926157593,77.4008460630259,4.646536801449969
violation_count_mean,17.0625,21.825581395348838,4.763081395348838
violation_count_std,14.045863815464703,14.754613922802042,0.7087501073373392
near_miss_count_mean,5.5625,0.0,-5.5625
near_miss_count_std,4.634634689992019,0.0,-4.634634689992019
shield_count_mean,17.0625,21.825581395348838,4.763081395348838
shield_count_std,14.045863815464703,14.754613922802042,0.7087501073373392
action_correction_mean_mean,0.666326322545886,0.6751119115857694,0.008785589039883468
action_correction_mean_std,0.11083209001374292,0.0976602455740999,-0.013171844439643018
reward_penalty_sum_mean,2.7141421588975945,2.80917304676286,0.0950308878652657
reward_penalty_sum_std,2.0218554518120566,1.7684285032628217,-0.25342694854923487
