metric,baseline_sac,lilac_none,lilac_minus_baseline
episodes,11.0,10.0,-1.0
r_mean,158.94911154545454,162.00472249999999,3.0556109545454433
r_std,58.04362278237613,59.34773376972037,1.304110987344238
l_mean,175.72727272727272,180.2,4.472727272727269
l_std,60.80804372628823,62.61309767133391,1.8050539450456782
violation_count_mean,155.27272727272728,161.5,6.2272727272727195
violation_count_std,53.90749652708964,56.24796292607701,2.340466398987367
near_miss_count_mean,1.8181818181818181,3.0,1.1818181818181819
near_miss_count_std,1.1677484162422844,2.494438257849294,1.3266898416070096
shield_count_mean,0.0,0.0,0.0
shield_count_std,0.0,0.0,0.0
action_correction_mean_mean,0.0,0.0,0.0
action_correction_mean_std,0.0,0.0,0.0
reward_penalty_sum_mean,0.0,0.0,0.0
reward_penalty_sum_std,0.0,0.0,0.0
tau_violation,,,
tau_near_miss,,,
